codigo_contrato,data_venda,codigo_produto,valor_monetario,quantidade,codigo_vendedor,codigo_cliente
2849509,2022-12-30,965900,6.2,2,640,238810
2849511,2022-12-30,424300,79.2,4,559,676161
2849515,2022-12-30,492300,31.05,3,529,341769
2849520,2022-12-30,2963200,16.4,1,498,341801
2849530,2022-12-30,1125900,184.8,2,392,282832
2849532,2022-12-30,1399500,79.9,3,563,570510
2849533,2022-12-30,2968703,56.9,2,643,116415
2849534,2022-12-30,254800,81.8,2,644,818781
2849534,2022-12-30,511100,61.35,2,644,818781
2849534,2022-12-30,648800,103.05,2,644,818781
2849534,2022-12-30,1360900,56,4,644,818781
2849535,2022-12-30,356000,171,3,624,690325
2849539,2022-12-30,1032300,316.35,6,563,570510
2849547,2022-12-30,1127900,67.59,30,549,196883
2849547,2022-12-30,2367200,185.79,9,549,196883
2849548,2022-12-30,2995801,37,3,559,712375
2849554,2022-12-30,2013700,199.8,3,441,20917
2849558,2022-12-30,420900,90,100,624,226256
2849558,2022-12-30,464100,50,100,624,226256
2849558,2022-12-30,608200,105,100,624,226256
2849559,2022-12-30,2300000,181.8,1,639,818786
2849561,2022-12-30,2013700,599.4,2,644,665443
2849604,2022-12-30,2488400,2219.7,1,608,51008
2849614,2022-12-30,2709700,307,2,392,816381
2849774,2022-12-30,2963100,42,2,549,78611
2849564,2022-12-30,2978001,65.37,4,441,674204
2849765,2022-12-30,2681800,28,3,549,818810
2849764,2022-12-30,2968704,150.9,2,632,818809
2849761,2022-12-30,802500,39.1,1,639,780144
2849761,2022-12-30,143902,35,10,639,780144
2849756,2022-12-30,608200,105,300,608,39333
2849756,2022-12-30,275700,212,300,608,39333
2849755,2022-12-30,2681800,22,2,521,581083
2849734,2022-12-30,2963200,420.66,36,644,83587
2849733,2022-12-30,386700,520.14,3,632,271098
2849730,2022-12-30,2995605,19.5,1,546,735454
2849730,2022-12-30,2995604,58.5,2,546,735454
2849728,2022-12-30,2681800,112,8,590,215631
2849727,2022-12-30,2306100,19.8,20,559,67814
2849727,2022-12-30,1436100,39,2,559,67814
2849726,2022-12-30,2358500,37.3,2,668,765585
2849710,2022-12-30,1560200,29.6,2,392,209063
2849699,2022-12-30,1127900,14.79,10,632,17235
2849692,2022-12-30,447400,19.5,20,521,811541
2849689,2022-12-30,313100,37.1,1,643,716101
2849681,2022-12-30,356000,79.2,8,521,773934
2849676,2022-12-30,2733000,342,3,537,792514
2849671,2022-12-30,2961200,53.4,1,529,172914
2849664,2022-12-30,2877600,126.8,1,632,341769
2849664,2022-12-30,1176400,98.7,3,632,341769
2849660,2022-12-30,2968700,306,1,498,158953
2849658,2022-12-30,560200,2.4,1,632,341769
2849644,2022-12-30,2740000,107.44,2,608,8536
2849644,2022-12-30,1197300,106.95,2,608,8536
2849644,2022-12-30,386800,91.65,1,608,8536
2849625,2022-12-30,356000,71.08,6,643,818797
2849616,2022-12-30,464100,3,24,643,634514
2849616,2022-12-30,447400,15.6,36,643,634514
2849561,2022-12-30,2719100,396,1,644,665443
2849616,2022-12-30,396400,2.4,8,643,634514
2849615,2022-12-30,396400,2.7,9,668,183649
2849615,2022-12-30,275700,36,60,668,183649
2849569,2022-12-30,2359416,596.4,2,668,100506
2849078,2022-12-30,2367100,45.8,1,564,783324
2849078,2022-12-30,3001600,136.2,2,564,783324
2846214,2022-12-30,2858800,-355.74,-3,392,816381
2849082,2022-12-30,267500,91.65,2,473,169078
2849564,2022-12-30,1357500,581.1,12,441,674204
2849092,2022-12-30,1127900,75,10,643,303597
2849110,2022-12-30,2220400,-242,-3,644,818716
2849110,2022-12-30,2220400,484,3,644,818716
2849118,2022-12-30,3005500,34.8,3,585,31508
2849129,2022-12-30,2995604,43.2,3,608,680012
2849137,2022-12-30,2112300,7738.5,3,624,817137
2849139,2022-12-30,2475600,200.7,1,639,256735
2849163,2022-12-30,2541600,570,1,537,1013
2849163,2022-12-30,2710300,209.7,2,537,1013
2845798,2022-12-30,2143700,-397.6,-1,644,100506
2849167,2022-12-30,420900,68,170,549,412069
2849167,2022-12-30,1750600,128.4,2,549,412069
2849168,2022-12-30,143902,33,20,644,1670
2849170,2022-12-30,2973400,873.9,3,546,818724
2849179,2022-12-30,1032300,2121,90,473,685720
2849179,2022-12-30,2303000,1224,300,473,685720
2849182,2022-12-30,2143500,376,1,503,289449
2849187,2022-12-30,534600,80,6,543,25223
2849196,2022-12-30,400,105,60,498,100878
2849196,2022-12-30,143903,198,180,498,100878
2849196,2022-12-30,1125900,61.6,2,498,100878
2849198,2022-12-30,1125900,175.26,1,590,61526
2849205,2022-12-30,802500,77.2,1,549,255522
2849209,2022-12-30,293000,10,60,639,406832
2849217,2022-12-30,2740000,146.1,2,585,43994
2849220,2022-12-30,643200,46,6,585,43994
2849223,2022-12-30,1212900,33,2,543,687402
2849228,2022-12-30,2710300,1258.2,18,503,818730
2849234,2022-12-30,2547800,423,1,549,786774
2849234,2022-12-30,2969900,78,3,549,786774
2849236,2022-12-30,2992300,108.5,2,521,321256
2849240,2022-12-30,356000,59.4,3,564,341769
2849242,2022-12-30,396400,9,20,590,804405
2849251,2022-12-30,1669700,143.8,1,524,808994
2849252,2022-12-30,1407400,5.4,2,537,277966
2849257,2022-12-30,1537400,69.84,3,590,137084
2849258,2022-12-30,560200,47.1,14,559,260808
2849258,2022-12-30,699700,146.52,22,559,260808
2849258,2022-12-30,723000,28.5,2,559,260808
2849005,2022-12-30,2849700,73.17,2,563,680605
2849262,2022-12-30,2963100,14.5,1,590,61629
2849268,2022-12-30,1176400,182.72,3,549,194478
2849268,2022-12-30,2200500,12.4,2,549,194478
2849268,2022-12-30,2710300,194.1,1,549,194478
2849270,2022-12-30,2013700,99.9,3,590,307327
2849277,2022-12-30,1968700,1194,3,503,818730
2849279,2022-12-30,2719200,266,1,585,730971
2849286,2022-12-30,2995604,43.2,3,563,643502
2848426,2022-12-29,1407400,20,2,537,11012
2844004,2022-12-29,2220400,-484,-3,543,14357
2848726,2022-12-29,2963100,10.9,2,521,641826
2848732,2022-12-29,400,18.04,5,441,327216
2848738,2022-12-29,1176400,189.14,1,473,8365
2848739,2022-12-29,1502400,64.95,3,543,818661
2848750,2022-12-29,1127900,67.5,90,549,86865
2848750,2022-12-29,1176400,187.6,2,549,86865
2848756,2022-12-29,2968703,170.7,2,528,775148
2848783,2022-12-29,810100,141.16,1,668,46371
2848787,2022-12-29,1125900,61.2,3,639,21655
2848800,2022-12-29,2192700,99,1,585,128119
2848804,2022-12-29,447400,39,90,524,676161
2848804,2022-12-29,464100,15,90,524,676161
2848814,2022-12-29,2902500,60,1,563,624447
2848821,2022-12-29,643200,23,1,644,319583
2848828,2022-12-29,2036100,92.84,8,473,135246
2848838,2022-12-29,648800,137.4,4,473,142341
2848844,2022-12-29,648800,34.35,2,563,621013
2848846,2022-12-29,608200,14,60,521,42172
2848859,2022-12-29,645400,32,2,473,18757
2848859,2022-12-29,2226900,27.6,3,473,18757
2848871,2022-12-29,2242700,630,3,420,71214
2848873,2022-12-29,1127900,135.45,60,563,48571
2848873,2022-12-29,2995605,58.53,1,563,48571
2848878,2022-12-29,375700,58.05,1,473,95903
2848878,2022-12-29,386700,182.5,3,473,95903
2848878,2022-12-29,589800,6.4,1,473,95903
2848897,2022-12-29,2200600,74.4,6,640,211276
2845603,2022-12-29,1531100,-84.36,-2,668,646669
2848902,2022-12-29,723000,15.25,1,524,676161
2848909,2022-12-29,2719100,198,1,546,263484
2848914,2022-12-29,1560200,88.8,4,528,695846
2848930,2022-12-29,420900,14.7,28,543,4199
2848930,2022-12-29,447400,10.5,7,543,4199
2848939,2022-12-29,2036100,101.2,4,585,818686
2848948,2022-12-29,2681800,11,3,632,121882
2848964,2022-12-29,2143300,397.6,1,420,223543
2848967,2022-12-29,375700,18.2,3,543,659833
2848977,2022-12-29,2036600,35.7,1,668,105796
2848984,2022-12-29,1360900,23.56,1,546,593030
2848989,2022-12-29,386800,184.6,6,549,811577
2848989,2022-12-29,648800,34.35,1,549,811577
2848994,2022-12-29,2968703,170.7,1,521,727527
2848996,2022-12-29,255100,19.8,3,521,33781
2849002,2022-12-29,643200,23,3,521,122312
2849012,2022-12-29,447400,13,10,521,427490
2849012,2022-12-29,464100,2.5,10,521,427490
2849012,2022-12-29,608200,10.5,10,521,427490
2849015,2022-12-29,2963100,10.9,1,632,644622
2849026,2022-12-29,2995604,81.5,6,563,111000
2849027,2022-12-29,1560200,56.24,4,668,646669
2849032,2022-12-29,1126800,107.2,1,521,280580
2849032,2022-12-29,1176400,98.7,1,521,280580
2849040,2022-12-29,1399600,36.3,3,632,341769
2849042,2022-12-29,2359414,564,2,632,151945
2849043,2022-12-29,400,35,10,590,62767
2849043,2022-12-29,396400,12,60,590,62767
2849043,2022-12-29,420900,16,40,590,62767
2849043,2022-12-29,447400,5.5,30,590,62767
2849043,2022-12-29,745500,10.5,10,590,62767
2849043,2022-12-29,748500,5.5,10,590,62767
2849043,2022-12-29,2681800,22,2,590,62767
2849043,2022-12-29,2995601,31.8,3,590,62767
2848724,2022-12-29,2828000,45.15,2,498,818658
2848715,2022-12-29,2968703,56.9,3,639,818614
2848712,2022-12-29,255900,36.95,3,441,818481
2848706,2022-12-29,396400,6,10,549,341769
2848704,2022-12-29,1127900,5,6,608,818654
2848701,2022-12-29,569100,80.6,1,639,727527
2848700,2022-12-29,2359415,180.8,1,528,82432
2848699,2022-12-29,643200,46,1,640,821308
2848697,2022-12-29,2220400,242,2,543,14357
2848696,2022-12-29,2226800,104.4,3,546,613376
2848688,2022-12-29,2478102,69.8,2,498,139945
2848684,2022-12-29,2478102,119.4,3,529,315727
2848681,2022-12-29,2963200,32.8,2,640,7771
2848677,2022-12-29,2995601,763.2,16,546,738677
2848677,2022-12-29,2681800,11,3,546,738677
2848672,2022-12-29,2563109,474.54,2,537,818651
2848671,2022-12-29,2995605,20.45,1,563,341769
2848668,2022-12-29,424300,19.8,3,590,341769
2848668,2022-12-29,400,1.9,1,590,341769
2848666,2022-12-29,2830500,3076,2,549,798369
2848661,2022-12-29,608200,35,100,590,629019
2848661,2022-12-29,447400,39,30,590,629019
2848661,2022-12-29,396200,75,300,590,629019
2848648,2022-12-29,560200,34.5,30,498,816622
2848648,2022-12-29,267500,82.5,2,498,816622
2848641,2022-12-29,560200,4.4,2,473,783020
2848641,2022-12-29,143902,7,2,473,783020
2848637,2022-12-29,464100,2.5,30,643,413831
2848635,2022-12-29,1407400,40,1,643,818646
2848632,2022-12-29,3005400,90,2,639,249929
2848600,2022-12-29,2358600,63.6,1,585,643570
2848588,2022-12-29,2995800,66,2,632,64809
2848585,2022-12-29,1003500,1197,2,559,232461
2848579,2022-12-29,2978001,46,2,521,8084
2848579,2022-12-29,2358500,111.9,2,521,8084
2848577,2022-12-29,1197300,71.8,2,640,697007
2848571,2022-12-29,2963100,10.9,1,524,796527
2848555,2022-12-29,2963100,10.9,1,624,766228
2848552,2022-12-29,560200,96,80,473,7427
2848548,2022-12-29,2036100,72.3,3,624,103727
2848548,2022-12-29,643200,69,2,624,103727
2848548,2022-12-29,267500,52,2,624,103727
2848544,2022-12-29,1888500,1162.2,3,543,334273
2848544,2022-12-29,401800,48,4,543,334273
2848533,2022-12-29,447400,13,60,521,54051
2848526,2022-12-29,2968702,196.2,1,585,57239
2848521,2022-12-29,965900,7.86,2,537,227360
2848520,2022-12-29,424300,214.8,12,521,592721
2848517,2022-12-29,2681800,22,3,640,734579
2848512,2022-12-29,2635600,222.6,2,644,30339
2848508,2022-12-29,699600,8,3,563,727302
2848508,2022-12-29,143902,17.5,10,563,727302
2848503,2022-12-29,2719400,184,2,639,797835
2848501,2022-12-29,1669700,215.7,3,140,818628
2848494,2022-12-29,2995801,41.8,1,441,349407
2848494,2022-12-29,420900,5.12,6,441,349407
2848492,2022-12-29,1357500,68,2,640,6704
2848491,2022-12-29,802500,42.85,3,639,33502
2848489,2022-12-29,1067600,477.6,24,608,8153
2848489,2022-12-29,1067400,119.4,2,608,8153
2848489,2022-12-29,560200,24,20,608,8153
2848483,2022-12-29,2681800,42,1,643,818625
2848483,2022-12-29,400,114,30,643,818625
2848481,2022-12-29,2972800,592,4,640,818277
2848457,2022-12-29,1000900,149.6,2,441,818618
2848455,2022-12-29,2587000,258.75,3,639,46864
2848453,2022-12-29,723000,30.5,1,643,273099
2848453,2022-12-29,511100,81.8,6,643,273099
2848453,2022-12-29,420900,2.7,6,643,273099
2848453,2022-12-29,275800,0.8,3,643,273099
2848453,2022-12-29,400,57,10,643,273099
2848436,2022-12-29,2690800,431.3,2,590,250771
2848436,2022-12-29,536000,1684.35,3,590,250771
2848434,2022-12-29,2681800,22,3,563,373750
2848434,2022-12-29,643200,23,1,563,373750
2848434,2022-12-29,420900,4,5,563,373750
2848429,2022-12-29,645400,48,1,640,237017
2848427,2022-12-29,2681800,42,9,529,97577
2848423,2022-12-29,447400,20,60,668,126778
2848423,2022-12-29,293000,4,20,668,126778
2848416,2022-12-29,1968900,1499.4,2,563,277148
2848410,2022-12-29,464100,120,200,420,90933
2848409,2022-12-29,2958800,53.1,3,543,4199
2848409,2022-12-29,1126200,106.2,6,543,4199
2848409,2022-12-29,2958800,-17.7,-1,543,4199
2848409,2022-12-29,1126200,-70.8,-4,543,4199
2848406,2022-12-29,2877600,253.6,4,549,60354
2848406,2022-12-29,1126201,177,10,549,60354
2848394,2022-12-29,2740000,108.2,2,624,681051
2848394,2022-12-29,2303000,19.2,2,624,681051
2848383,2022-12-29,1067400,244.96,12,559,299019
2848377,2022-12-29,2226800,104.4,3,668,645970
2848367,2022-12-29,1531100,29.6,3,585,108030
2848365,2022-12-29,560200,33,90,498,14058
2848359,2022-12-29,2526200,399.8,1,585,717068
2848352,2022-12-29,2963100,654,60,524,109093
2848349,2022-12-29,645400,96,4,585,263449
2848341,2022-12-29,255100,33,1,585,10582
2848339,2022-12-29,2740000,146.1,3,528,302591
2848338,2022-12-29,2367200,273,7,549,555348
2848323,2022-12-29,2192700,188,3,640,569189
2848321,2022-12-29,3033200,319.8,2,503,4920
2848321,2022-12-29,975000,106.5,1,503,4920
2848321,2022-12-29,745500,27,30,503,4920
2848321,2022-12-29,560200,33,10,503,4920
2848321,2022-12-29,275800,18,30,503,4920
2848320,2022-12-29,447400,3,3,529,45372
2848320,2022-12-29,420900,3.5,10,529,45372
2848316,2022-12-29,2963100,29,1,590,781331
2848315,2022-12-29,2092800,164.2,2,585,36001
2848306,2022-12-29,1407400,20,1,643,635427
2848295,2022-12-29,2719100,396,3,528,818546
2848263,2022-12-29,2963100,14.5,2,392,167693
2848259,2022-12-29,2963000,19.95,3,392,227368
2848259,2022-12-29,1032300,117.75,2,392,227368
2848258,2022-12-29,1930000,30.75,1,543,60278
2848258,2022-12-29,589800,5.8,1,543,60278
2848243,2022-12-29,1560200,29.6,3,529,341769
2848239,2022-12-29,2963200,8.2,1,643,182465
2848234,2022-12-29,2358500,95.4,3,420,813788
2848233,2022-12-29,1197300,35.9,3,441,327216
2848233,2022-12-29,1127900,7.5,3,441,327216
2848233,2022-12-29,1127900,-5,-4,441,327216
2848221,2022-12-29,645400,16,2,473,428739
2848219,2022-12-29,2995604,43.2,2,529,74686
2848218,2022-12-29,1750600,42.8,3,441,263615
2848218,2022-12-29,745500,54,20,441,263615
2847866,2022-12-29,2681800,11,2,529,782691
2847866,2022-12-29,2200500,26.8,3,529,782691
2847866,2022-12-29,745500,54,60,529,782691
2847866,2022-12-29,743700,171,60,529,782691
2847866,2022-12-29,539700,17.2,1,529,782691
2847866,2022-12-29,464100,4,40,529,782691
2847866,2022-12-29,396400,15,40,529,782691
2822822,2022-12-29,1428300,-710.6,-3,549,277148
2818971,2022-12-28,2968702,65.4,1,590,812150
2848161,2022-12-28,1020800,16.5,1,644,631984
2848147,2022-12-28,2995800,111,3,473,423994
2848138,2022-12-28,643200,23,3,640,123641
2848138,2022-12-28,608200,1.8,6,640,123641
2848138,2022-12-28,464100,7.5,10,640,123641
2848138,2022-12-28,396400,3,20,640,123641
2848136,2022-12-28,2681800,42,3,420,80420
2848136,2022-12-28,1001100,52.5,45,420,80420
2848136,2022-12-28,699700,8.3,1,420,80420
2848136,2022-12-28,699600,20,10,420,80420
2848132,2022-12-28,828500,19.6,6,639,184123
2848119,2022-12-28,560200,2.2,4,473,16664
2848112,2022-12-28,569100,80.38,2,537,97144
2848109,2022-12-28,375700,18.38,2,524,430401
2848104,2022-12-28,464100,10,20,640,49558
2848100,2022-12-28,2013700,199.8,3,420,81295
2848085,2022-12-28,569100,80.6,1,668,818547
2848084,2022-12-28,569100,35.9,2,590,814074
2848083,2022-12-28,386700,527.01,3,441,92838
2848077,2022-12-28,2681800,22,1,639,818545
2848077,2022-12-28,1212900,39,2,639,818545
2848076,2022-12-28,1360900,126,9,524,130982
2848076,2022-12-28,1127900,5,4,524,130982
2848073,2022-12-28,3016100,129,3,632,154903
2848071,2022-12-28,2995604,43.2,2,441,818310
2848070,2022-12-28,511100,38.86,6,590,814074
2848056,2022-12-28,2337600,42,3,392,191078
2848055,2022-12-28,881200,28,3,537,647277
2848052,2022-12-28,2587000,278,2,668,818542
2848050,2022-12-28,1197300,107.7,2,640,67770
2848047,2022-12-28,2719100,594,3,549,69468
2848046,2022-12-28,2978001,23,2,643,818539
2848046,2022-12-28,380700,139.8,6,643,818539
2848046,2022-12-28,356000,198,10,643,818539
2848041,2022-12-28,1360900,28,2,524,586880
2848036,2022-12-28,2992300,293.1,2,420,130675
2848025,2022-12-28,608200,120,400,585,61326
2848025,2022-12-28,464100,50,400,585,61326
2848025,2022-12-28,447400,220,600,585,61326
2848004,2022-12-28,2968700,216,2,640,173227
2848000,2022-12-28,1179200,30.75,3,537,773130
2847993,2022-12-28,420900,4.05,6,546,648869
2847987,2022-12-28,2434301,358.6,3,392,424786
2847979,2022-12-28,380700,209.7,3,640,306600
2847970,2022-12-28,2313300,442,3,498,816342
2847967,2022-12-28,2374500,248,1,549,272538
2847945,2022-12-28,2036100,50,4,543,45452
2847945,2022-12-28,2035900,64,2,543,45452
2847944,2022-12-28,1360900,28,3,624,818524
2847943,2022-12-28,608200,90,100,640,7488
2847943,2022-12-28,275700,27,60,640,7488
2847942,2022-12-28,643200,23,3,420,15270
2847935,2022-12-28,1407400,60,2,563,730883
2847932,2022-12-28,420900,1.6,4,668,168579
2847930,2022-12-28,2968701,266.7,3,420,818518
2847928,2022-12-28,2358500,67.2,3,668,168579
2847922,2022-12-28,2995604,86.4,2,529,792409
2847920,2022-12-28,2313300,698.7,2,644,815545
2847917,2022-12-28,1032300,141.4,6,639,639746
2847909,2022-12-28,2226300,97.5,2,563,239270
2847904,2022-12-28,1560200,29.6,2,529,71452
2847899,2022-12-28,3005500,34.8,2,644,141682
2847899,2022-12-28,2388200,738,2,644,141682
2847884,2022-12-28,2963100,21.78,2,537,742621
2847884,2022-12-28,2681800,10.99,2,537,742621
2847878,2022-12-28,2821101,100.35,1,498,87390
2847530,2022-12-28,424300,39.6,4,521,727527
2847878,2022-12-28,2681800,22,1,498,87390
2841971,2022-12-28,2901100,-616,-2,521,817512
2847878,2022-12-28,1032300,106.05,3,498,87390
2847878,2022-12-28,447400,5,20,498,87390
2847545,2022-12-28,2359416,198.8,1,473,116139
2847544,2022-12-28,2192700,190,1,608,818448
2847539,2022-12-28,2911200,35.4,1,529,185961
2847539,2022-12-28,643200,46,2,529,185961
2847538,2022-12-28,2995604,64.8,3,543,750716
2847537,2022-12-28,1669700,67.9,1,420,813928
2847530,2022-12-28,511100,20.45,3,521,727527
2847862,2022-12-28,1436100,117,3,503,207202
2847862,2022-12-28,757500,40.1,1,503,207202
2847861,2022-12-28,2971600,42,2,563,188452
2847858,2022-12-28,2995601,74.6,2,537,356243
2847858,2022-12-28,2358500,37.3,2,537,356243
2847858,2022-12-28,960600,558,2,537,356243
2847855,2022-12-28,255100,29.7,1,503,400888
2847844,2022-12-28,2830502,1461,1,521,118868
2847836,2022-12-28,461500,17.4,2,585,20850
2847835,2022-12-28,2740000,162.3,1,559,356550
2847832,2022-12-28,143902,10.5,6,498,375165
2847829,2022-12-28,1176400,1661.4,6,585,806526
2847829,2022-12-28,757500,88.38,1,585,806526
2847805,2022-12-28,396200,2.5,30,643,814129
2847805,2022-12-28,275700,18,30,643,814129
2847800,2022-12-28,2388200,222,3,529,818496
2847798,2022-12-28,420900,70,600,498,437225
2847761,2022-12-28,2911200,106.2,2,624,565863
2847761,2022-12-28,2681800,22,4,624,565863
2847761,2022-12-28,1032300,70.7,2,624,565863
2847759,2022-12-28,1412600,39,1,524,739088
2847744,2022-12-28,662900,1317,1,543,237017
2847741,2022-12-28,2961200,22.66,1,286,84360
2847739,2022-12-28,2978001,22.14,2,441,256571
2847739,2022-12-28,2799900,82.85,2,441,256571
2847739,2022-12-28,511100,35.48,3,441,256571
2847733,2022-12-28,1176400,888.3,6,543,44087
2847723,2022-12-28,643200,46,2,546,101211
2847720,2022-12-28,1333700,64.7,2,543,795474
2847711,2022-12-28,1032300,70.7,2,668,90259
2847696,2022-12-28,2563110,450,2,564,141665
2847696,2022-12-28,2563109,450,3,564,141665
2847689,2022-12-28,1212900,78,2,624,265037
2847686,2022-12-28,2971600,24.4,1,564,341769
2847682,2022-12-28,1560200,59.2,4,543,240444
2847678,2022-12-28,2681800,11,2,624,731559
2847671,2022-12-28,1360900,42,2,528,676161
2847649,2022-12-28,1126800,400,4,498,140479
2847647,2022-12-28,2478102,134.1,2,549,26988
2847629,2022-12-28,2359417,188,1,559,707301
2847609,2022-12-28,2303000,19.2,9,529,26236
2847609,2022-12-28,1550500,69.6,2,529,26236
2847609,2022-12-28,1176400,592.2,6,529,26236
2847605,2022-12-28,2995604,21.6,1,643,809514
2847604,2022-12-28,1125900,117.04,4,668,249057
2847602,2022-12-28,2963100,43.5,1,498,341801
2847592,2022-12-28,2925500,100.2,2,643,200777
2847588,2022-12-28,1399500,88.7,1,498,341801
2847585,2022-12-28,909400,354,3,498,15155
2847583,2022-12-28,1550500,29.6,2,503,721619
2847574,2022-12-28,2995604,36.8,3,524,809210
2847567,2022-12-28,1436100,22,2,559,438649
2847560,2022-12-28,2036100,75.9,2,545,492338
2847560,2022-12-28,426900,52.65,3,545,492338
2847552,2022-12-28,1560200,14,3,498,608833
2848204,2022-12-28,2388200,233.7,2,668,818570
2848200,2022-12-28,648800,136.36,6,549,296258
2848192,2022-12-28,2995601,124,4,639,727527
2848187,2022-12-28,143902,3.35,2,632,178416
2848183,2022-12-28,3005400,53.44,3,563,816772
2848180,2022-12-28,1067000,290.8,2,639,806821
2848161,2022-12-28,1020900,39,2,644,631984
2838664,2022-12-27,648800,-309.5,-20,543,16675
2846650,2022-12-27,1067000,207,1,585,820118
2846655,2022-12-27,1537400,14.8,2,473,727527
2846661,2022-12-27,1125900,184.8,3,585,818293
2846665,2022-12-27,2220400,726,3,564,34648
2846669,2022-12-27,143903,14,8,624,418240
2846669,2022-12-27,503900,26.25,3,624,418240
2846669,2022-12-27,560200,44,20,624,418240
2846671,2022-12-27,1032300,78.5,2,644,809891
2846671,2022-12-27,1929900,47.9,4,644,809891
2846680,2022-12-27,1032300,35.35,3,529,148660
2846706,2022-12-27,2313300,465.8,2,537,340020
2846714,2022-12-27,420900,16,20,473,645067
2846714,2022-12-27,748500,2.75,5,473,645067
2846721,2022-12-27,2963100,32.7,2,640,635182
2846723,2022-12-27,965900,11.79,3,608,818292
2846724,2022-12-27,643200,92,6,529,61912
2846726,2022-12-27,2830503,4611.3,3,503,26736
2846729,2022-12-27,1531100,59.2,2,585,341801
2846755,2022-12-27,1069000,91.2,6,644,79149
2846755,2022-12-27,1069100,121.6,24,644,79149
2846758,2022-12-27,1360900,84,6,559,112616
2846769,2022-12-27,2566000,102,2,640,648
2846772,2022-12-27,1669700,193.5,3,644,659928
2846773,2022-12-27,1930000,22.7,3,473,646373
